# Taken at http://www.eso.org/sci/facilities/paranal/decommissioned/isaac/inst/isaac_img.html
# nm Ksband
2155.6 0.8801
2156.1 0.8801
2156.6 0.8798
2157 0.8801
2157.5 0.8809
2158 0.8815
2158.4 0.8817
2158.9 0.8814
2159.4 0.8809
2159.8 0.8808
2160.3 0.8811
2160.8 0.8811
2161.2 0.8810
2161.7 0.8808
2162.2 0.8807
2162.6 0.8812
2163.1 0.8816
2163.6 0.8814
2164 0.8810
2164.5 0.8807
2165 0.8806
2165.4 0.8808
2165.9 0.8808
2166.4 0.8806
2166.8 0.8806
2167.3 0.8810
2167.8 0.8814
2168.3 0.8816
2168.7 0.8812
2169.2 0.8805
2169.7 0.8801
2170.1 0.8801
2170.6 0.8800
2171.1 0.8795
2171.6 0.8788
2172 0.8782
2172.5 0.8784
2173 0.8790
2173.4 0.8791
2173.9 0.8786
2174.4 0.8777
2174.9 0.8768
2175.3 0.8765
2175.8 0.8764
2176.3 0.8761
2176.8 0.8758
2177.2 0.8757
2177.7 0.8758
2178.2 0.8758
2178.6 0.8754
2179.1 0.8744
2179.6 0.8736
2180.1 0.8733
2180.5 0.8734
2181 0.8736
2181.5 0.8735
2182 0.8732
2182.5 0.8731
2182.9 0.8731
2183.4 0.8727
2183.9 0.8718
2184.4 0.8705
2184.8 0.8693
2185.3 0.8688
2185.8 0.8688
2186.3 0.8684
2186.7 0.8676
2187.2 0.8667
2187.7 0.8660
2188.2 0.8657
2188.7 0.8653
2189.1 0.8644
2189.6 0.8632
2190.1 0.8625
2190.6 0.8621
2191.1 0.8621
2191.5 0.8617
2192 0.8608
2192.5 0.8600
2193 0.8595
2193.5 0.8594
2193.9 0.8593
2194.4 0.8588
2194.9 0.8579
2195.4 0.8572
2195.9 0.8568
2196.4 0.8561
2196.8 0.8550
2197.3 0.8537
2197.8 0.8526
2198.3 0.8524
2198.8 0.8529
2199.3 0.8533
2199.7 0.8533
2200.2 0.8533
2200.7 0.8536
2201.2 0.8542
2201.7 0.8547
2202.2 0.8544
2202.6 0.8535
2203.1 0.8526
2203.6 0.8520
2204.1 0.8518
2204.6 0.8515
2205.1 0.8508
2205.6 0.8503
2206 0.8503
2206.5 0.8506
2207 0.8508
2207.5 0.8506
2208 0.8502
2208.5 0.8501
2209 0.8504
2209.5 0.8505
2209.9 0.8502
2210.4 0.8496
2210.9 0.8492
2211.4 0.8499
2211.9 0.8512
2212.4 0.8523
2212.9 0.8529
2213.4 0.8528
2213.9 0.8527
2214.3 0.8530
2214.8 0.8535
2215.3 0.8538
2215.8 0.8543
2216.3 0.8550
2216.8 0.8561
2217.3 0.8571
2217.8 0.8576
2218.3 0.8573
2218.8 0.8571
2219.3 0.8574
2219.8 0.8581
2220.2 0.8589
2220.7 0.8591
2221.2 0.8590
2221.7 0.8594
2222.2 0.8605
2222.7 0.8617
2223.2 0.8626
2223.7 0.8628
2224.2 0.8628
2224.7 0.8634
2225.2 0.8645
2225.7 0.8655
2226.2 0.8664
2226.7 0.8671
2227.2 0.8679
2227.7 0.8691
2228.2 0.8701
2228.7 0.8704
2229.2 0.8703
2229.7 0.8704
