A	gBand	rBand	iBand	zBand	JBand	HBand	KBand
635	0.00002	0.69210	0.00000	0.00000	0.00000	0.00000	0.00000
636	0.00002	0.69285	0.00000	0.00000	0.00000	0.00000	0.00000
637	0.00001	0.69396	0.00000	0.00000	0.00000	0.00000	0.00000
638	0.00001	0.69303	0.00000	0.00000	0.00000	0.00000	0.00000
639	0.00001	0.69205	0.00000	0.00000	0.00000	0.00000	0.00000
640	0.00001	0.69245	0.00000	0.00000	0.00000	0.00000	0.00000
641	0.00001	0.69267	0.00000	0.00000	0.00000	0.00000	0.00000
642	0.00001	0.69185	0.00000	0.00000	0.00000	0.00000	0.00000
643	0.00001	0.69140	0.00000	0.00000	0.00000	0.00000	0.00000
644	0.00001	0.69199	0.00000	0.00000	0.00000	0.00000	0.00000
645	0.00001	0.69189	0.00000	0.00000	0.00000	0.00000	0.00000
646	0.00001	0.69057	0.00000	0.00000	0.00000	0.00000	0.00000
647	0.00001	0.69044	0.00000	0.00000	0.00000	0.00000	0.00000
648	0.00000	0.69155	0.00000	0.00000	0.00000	0.00000	0.00000
649	0.00000	0.69222	0.00000	0.00000	0.00000	0.00000	0.00000
650	0.00000	0.69086	0.00000	0.00000	0.00000	0.00000	0.00000
651	0.00000	0.68985	0.00000	0.00000	0.00000	0.00000	0.00000
652	0.00000	0.69067	0.00000	0.00000	0.00000	0.00000	0.00000
653	0.00000	0.69133	0.00000	0.00000	0.00000	0.00000	0.00000
654	0.00000	0.68990	0.00000	0.00000	0.00000	0.00000	0.00000
655	0.00000	0.68984	0.00000	0.00000	0.00000	0.00000	0.00000
656	0.00000	0.69006	0.00000	0.00000	0.00000	0.00000	0.00000
657	0.00000	0.68897	0.00000	0.00000	0.00000	0.00000	0.00000
658	0.00000	0.68694	0.00000	0.00000	0.00000	0.00000	0.00000
659	0.00000	0.68691	0.00000	0.00000	0.00000	0.00000	0.00000
660	0.00000	0.68735	0.00000	0.00000	0.00000	0.00000	0.00000
661	0.00000	0.68558	0.00000	0.00000	0.00000	0.00000	0.00000
662	0.00000	0.68310	0.00000	0.00000	0.00000	0.00000	0.00000
663	0.00000	0.68318	0.00000	0.00000	0.00000	0.00000	0.00000
664	0.00000	0.68216	0.00000	0.00000	0.00000	0.00000	0.00000
665	0.00000	0.68029	0.00000	0.00000	0.00000	0.00000	0.00000
666	0.00000	0.67814	0.00000	0.00000	0.00000	0.00000	0.00000
667	0.00000	0.67875	0.00000	0.00000	0.00000	0.00000	0.00000
668	0.00000	0.67783	0.00000	0.00000	0.00000	0.00000	0.00000
669	0.00000	0.67534	0.00000	0.00000	0.00000	0.00000	0.00000
670	0.00000	0.67462	0.00000	0.00000	0.00000	0.00000	0.00000
671	0.00000	0.67547	0.00000	0.00000	0.00000	0.00000	0.00000
672	0.00000	0.67391	0.00000	0.00000	0.00000	0.00000	0.00000
